"","SRR13836064","SRR13836061","SRR13836096","SRR13836086","SRR13836068","SRR13836072","SRR13836094","SRR13836071","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147"
"Streptococcus_salivarius",0.00109113495899659,0.000618543449329409,5.21111725164728e-05,0.00406607315037592,0.000749772336420304,0,0,0.000210618119794277,0,0,0.000174809942992095,0,0,0.000161487830132254,0,0,0
"Clostridiaceae_unclassified_SGB4771",0,0,0,0.000428132855999647,0.00096868609213835,0,0,0,0.000779926502434622,0,0,0,0,0,0,0,0
"Haemophilus_parainfluenzae",0,0.0171604899154631,0.00068232593589611,0.000999544756197724,0,0,0,0,0.00229490019686485,0.000157584423826642,0.00707157420413312,0.0127936315126743,0,0,0,0,0
"Bacteroides_clarus",0.0012016554731456,0,0,0.0769666935436088,0,0,0,0.00875847796061218,0,0,0,0,0,0,0.0805399311958625,0,0
"Roseburia_hominis",0.00186697059709182,0.000257284813386076,0.0917709827092231,0.00200477577783076,0.00403933342255733,7.161034225411e-05,0.000128044565746246,0,0.0117371175069696,0,0.00150412692471684,0,0.0269036262124806,0.173814585257359,0.00194395362355972,0.00947298162158706,0.0101707861428371
"Blautia_SGB4815",0.000117416668899424,0,0,0.00342323034825232,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella_excrementihominis",0.00129739780487272,0.00281774567030204,0,0.0139301372152066,0,0,0,0,0,0,0,0.0626218348817902,0.00321068744108311,0.00438344988943879,0,0,0.00894946858480402
"GGB9712_SGB15244",0.0489011259111781,0.000284795340455554,0,0,0.0113529584910896,0,0,0,0.0011377012845921,0,0.000201608835158048,0,0,0,0,0,0.0117064827418241
"Clostridium_sp_AF20_17LB",0,0,0,0.000778414432427515,0,0,0,0.000243333366501259,0.000350653856107183,0,0.00099285889356728,0,0.000780141423748126,0.0013296769006873,0,0.00675179396708598,0
"Clostridium_sp_AM22_11AC",0.023913560813359,0,0,0.000582310599095637,0.000393293088133711,0.00465458160469473,0.00687975517179582,0.000754170481040384,0.00141370250434758,0,0.0135122121115778,0.00660394675716192,0.000562613647063773,0.00509364179573812,0,0,0.000586776863273568
"Clostridiaceae_bacterium_AF18_31LB",0.000115425670973681,0,0,0.000776698097767419,0.000460435604193509,0,0,0,1.13373863962531e-05,0,0.00181229199469634,0,9.60330072863791e-05,7.5120059946685e-05,0,0,0
"Clostridiaceae_bacterium_Marseille_Q4149",0,0.0024387075532886,0,0,0,0,0,0.000317462810274458,0.00297989252052281,0,0,0,0,0,0,0,0.00101278116648154
"Collinsella_SGB14861",0.0106575940869607,0.00039661801728255,0,0,0,0,0,0,0.000328553462220264,0,0,0,0,0,0,0,0.000238219161162421
"Lacrimispora_celerecrescens",0,0,0,0.000166298855197784,0,0,0,0,0,0,0,0,0,0.00107955085162864,0,0,0
"Roseburia_sp_AM16_25",0,0,0,8.66247694083792e-05,0.000485843190544504,0,0,0,0.000548481509105675,0,0,0,0.000523624159266868,0,1.01230140072278e-05,0,0.000804362440132903
