"","SRR13836088","SRR13836076","SRR13836083","SRR13836070","SRR13836086","SRR13836068","SRR13836077","SRR13836099","SRR13836098","SRR13836152","SRR13836178","SRR13836143","SRR13836172","SRR13836139"
"Eubacterium_ventriosum",0.000351773263871891,0.00650016408519967,0.000910326051879736,0.0246039254257651,0,0.00207454219718593,0.0368469328294588,0,0,0,0.00335665090407544,0.0124720637868457,0.0386124192274606,0.0130949150588467
"GGB9345_SGB14311",0.00127089964353374,0,0.000887100530334685,0,0,0,0,0,0.00138499169582574,0,0,0.00428113857267492,0,0
"Odoribacter_splanchnicus",0.0204198739592087,0.0237052386448058,0.0217118203563013,0.0158866705277089,0,0.0144658563570272,0.00327095878210472,0.000134445996910349,0.00467233147520999,0,0.0135885612603588,0.0853839298349572,0.0359225444522329,0
"Dorea_longicatena",0.00187870222201397,0.0109050276773974,0.00441937971063137,0.00954687359578351,0.00903908006981127,0.0616835065953884,0.00612502205275225,0.00414450166846094,0.201418681266733,0.00460662940500278,0.00478478355802876,0.0068078666803875,0.000281080209931504,0.00181507544821348
"Parabacteroides_distasonis",0.0451394391534269,0.0207910859787605,0.0183643041124645,0.00783566111892747,0.000454917564818348,0.00417963834792095,0.189433871668858,0.186401457976594,0.0153708508325021,0.0574101727075047,0.117574234125478,0.0887638532806937,0.0198518015267385,0.0155834897131839
"Faecalibacterium_prausnitzii",0.142950565140577,0.863106310329383,0.266902402349845,0.122407251739868,0.92733359607327,0.412279531790802,0.689482381159971,1.23292138518424,1.24112137040347,1.18103464986846,0.353820464616158,1.17149962142536,0.33911198413841,0.452784327903731
"Roseburia_faecis",0.0194991555098371,0.197358195150161,0.0018789816574702,0.500701897329093,0.315944400543153,0.0271531881381268,0.0985254897771693,0.0466922049973992,0.0794995493363083,0.0228406380352897,0.0832293500221495,0.21625615983432,0.0304808508534467,0.130517155821668
"Coprococcus_comes",0.0568703384680822,0.0142652854225583,0.000469075304950893,0.00241609373246584,0.00917793425076301,0.00370388454825916,0,0,0.0019300278936564,0.0198851932962349,0.0120966769836943,0.00368865032317767,0.00245081068984873,0.0318234430859022
"Bacteroides_faecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnesiella_intestinihominis",0.159590827255185,0,0.0106778387509406,0.0713494665738988,0.000220268180699167,0.0408173473060057,0,0.00153234158969889,0.00123665365578891,0,0.000479990424306612,0.14413848728597,0.0887676051203538,0
"GGB3746_SGB5089",0,0,0,0.0197649552156163,0.0254866286568552,0.00023243042384807,0,0,0,0.0149813786075578,0.00146916908986068,0,8.73521110694978e-05,0.00112228288012585
"Intestinibacter_bartlettii",0.000686218062138323,0.0033825428772003,0,0,0.00294882897363536,0.000328946030637385,0.00341653819055131,0,0,0,0,0,0,0
"Desulfovibrio_SGB5077",0,0.0175201837334705,0.000265319511826493,0.0118392937254012,0,0.000249829563353707,0,0,0,0.0185222233569072,0.000526738040736379,0,0.0177797717982341,0.000124872565046451
"Firmicutes_bacterium_AF16_15",0.0270519799115569,0.0324654408445482,0.122018618761811,0.000444871403318445,0.0229342095729586,0.030154913222182,0,0.00371670646386971,0.135521673375641,0,0.00756839884119577,0.0176694374929526,0.0310341818119104,0.0156132736424814
"Bacteroides_caccae",0.000197208225278375,0.0274053402099371,0.1972655424948,0.0259600597831466,0.100231100993423,0.0275582219234117,0.0316897741888586,0.00107887319080523,0.0245296062699285,0,0.0686898315400006,0.00175748316509821,0.0359715115763712,0.102865136324096
"Ruminococcus_torques",0.00288218695847925,0.0042505747459992,0.00556194107774432,0.0507752276559255,0.0237195607255725,0.0132856180576145,0.0249089324809047,0.138197540445923,0.271323074229414,0.0551236855395757,0.0293424339877886,0.00794708323789727,0.00877466555518984,0.0115346285853924
"GGB9342_SGB14306",0.0219007371530522,0,0.000586888053033795,0,0,0.00633734475250309,0,0,0.00957249313516233,0,0,0.0130127846510415,0,0
"Clostridium_sp_AF12_28",0,0,0,0,7.51672685863045e-05,0,0,0,0.0557344048919337,0,0,0,0.000502856805926691,6.54835012927398e-05
"Bacteroides_finegoldii",0,0,0.00195800019140012,0.0241937938214005,0,0.0380647249585909,0.010332466812145,0.00011016885066938,0.000621326585773331,0,0.000193692475038705,0.000993777728074325,0.000271501929058814,0
"GGB9359_SGB14334",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0.000214419700823735,0.00157604790166243,0.000744643821285876,0.000825797507513665,0.00259682998019795,0.000259505063768931,0.00278641702269653,0,0.00899700392818599,0,0.000813654402841349,0.0021125551600317,0.00176371590196111,0.000220277265150707
"Veillonella_rogosae",0.000675538228179171,0.000231436476740211,0,0.000335742600544078,0.0137485814529271,0,0,0.00102929772000922,0.106061770656973,0.0139200261617205,0,0,0,0
"Clostridium_sp_1001270J_160509_D11",0.00140472722966975,0.000522999095456309,0,0,0,0,0,0,0.0479994809387493,0,0,0,0,0
"GGB9636_SGB15107",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_dorei",0.00533976913679786,0.00211344094431126,0.000633234425310931,0.0425471807411672,0.00203514058128221,0.0213614570676781,0.0768039701989932,0.00552011651227186,0.0296153265343141,0,0.0144306574809466,0.00316698435629032,0.00106107024110165,0.000850637325640476
